Date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume-AAPL,AdjClose_AAPL,DailyLogRetAAPL,Open_SPX,High_SPX,Low_SPX,Close-SPX,Volume_SPX,AdjClose_SPX,DailyLogRetSPX,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Volume_MSFT,AdjClose_MSFT,DailyLogRetMSFT
1/3/2000,104.87,112.5,101.69,111.94,19144400,27.87,0,1469.25,1478,1438.36,1455.22,931800000,1455.22,0,117.37,118.62,112,116.56,53228400,44.57,0
1/4/2000,108.25,110.62,101.19,102.5,18310000,25.52,-0.09,1455.22,1455.22,1397.43,1399.42,1009000000,1399.42,-0.04,113.56,117.12,112.25,112.62,54119000,43.06,-0.03
1/5/2000,103.75,110.56,103,104,27818000,25.89,0.01,1399.42,1413.27,1377.68,1402.11,1085500000,1402.11,0,111.12,116.37,109.37,113.81,64059600,43.52,0.01
1/6/2000,106.12,107,95,95,27443200,23.65,-0.09,1402.11,1411.9,1392.1,1403.45,1092300000,1403.45,0,112.19,113.87,108.37,110,54976600,42.06,-0.03
1/7/2000,96.5,101,95.5,99.5,16463200,24.77,0.05,1403.45,1441.47,1400.73,1441.47,1225200000,1441.47,0.03,108.62,112.25,107.31,111.44,62013600,42.61,0.01
1/10/2000,102,102.25,94.75,97.75,18059200,24.33,-0.02,1441.47,1464.36,1441.47,1457.6,1064800000,1457.6,0.01,113.44,113.69,111.37,112.25,44963600,42.92,0.01
1/11/2000,95.94,99.37,90.5,92.75,15775200,23.09,-0.05,1457.6,1458.66,1434.42,1438.56,1014000000,1438.56,-0.01,111.5,114.25,108.69,109.37,46743600,41.82,-0.03
1/12/2000,95,95.5,86.5,87.19,34870800,21.7,-0.06,1438.56,1442.6,1427.08,1432.25,974600000,1432.25,0,108.5,108.87,104.44,105.81,66532400,40.46,-0.03
1/13/2000,94.48,98.75,92.5,96.75,36882400,24.08,0.1,1432.25,1454.2,1432.25,1449.68,1030400000,1449.68,0.01,104.37,108.62,101.5,107.81,83144000,41.22,0.02
1/14/2000,100,102.25,99.37,100.44,13954400,25,0.04,1449.68,1473,1449.68,1465.15,1085900000,1465.15,0.01,107.19,113.94,105.75,112.25,73416400,42.92,0.04
1/18/2000,101,106,100.44,103.94,16421200,25.87,0.03,1465.15,1465.15,1451.3,1455.14,1056700000,1455.14,-0.01,111.81,116.5,111.75,115.31,81483600,44.09,0.03
1/19/2000,105.62,108.75,103.37,106.56,21358000,26.53,0.03,1455.14,1461.39,1448.68,1455.9,1087800000,1455.9,0,110.5,111.5,106,107,97568200,40.91,-0.07
1/20/2000,115.5,121.5,113.5,113.5,65418800,28.25,0.06,1455.9,1465.71,1438.54,1445.57,1100700000,1445.57,-0.01,107.06,109.69,105.87,106,56349800,40.53,-0.01
1/21/2000,114.25,114.25,110.19,111.31,17729200,27.71,-0.02,1445.57,1453.18,1439.6,1441.36,1209800000,1441.36,0,107,107.25,103.25,103.75,68416200,39.67,-0.02
1/24/2000,108.44,112.75,105.12,106.25,15760000,26.45,-0.05,1441.36,1454.09,1395.42,1401.53,1115800000,1401.53,-0.03,103.8,105.69,100.81,101.25,63597600,38.72,-0.02
1/25/2000,105,113.12,102.37,112.25,17775200,27.94,0.05,1401.53,1414.26,1388.49,1410.03,1073700000,1410.03,0.01,101,103.87,99.56,102.81,59823200,39.31,0.02
1/26/2000,110,114.19,109.75,110.19,13131200,27.43,-0.02,1410.03,1412.73,1400.16,1404.09,1117300000,1404.09,0,102.44,103.5,99.12,99.37,49365000,38,-0.03
1/27/2000,108.81,113,107,110,12163600,27.38,0,1404.09,1418.86,1370.99,1398.56,1129500000,1398.56,0,99.89,101.19,97.25,98.75,63654800,37.76,-0.01
1/28/2000,108.19,110.87,100.62,101.62,15142000,25.3,-0.08,1398.56,1398.56,1356.2,1360.16,1095800000,1360.16,-0.03,98.12,100.25,97.25,98.25,58225400,37.57,-0.01
1/31/2000,101,103.87,94.5,103.75,25071200,25.83,0.02,1360.16,1394.48,1350.14,1394.46,993800000,1394.46,0.02,97.62,98.19,94.87,97.87,73194200,37.42,0
2/1/2000,104,105,100,100.25,11380000,24.96,-0.03,1394.46,1412.49,1384.79,1409.28,981000000,1409.28,0.01,98.5,103.25,97.69,102.94,70196600,39.36,0.05
2/2/2000,100.75,102.12,97,98.81,16588800,24.6,-0.01,1409.28,1420.61,1403.49,1409.12,1038600000,1409.12,0,102.44,103.94,100.5,100.81,49915600,38.55,-0.02
2/3/2000,100.31,104.25,100.25,103.31,16977600,25.72,0.04,1409.12,1425.78,1398.52,1424.97,1146500000,1424.97,0.01,102.06,104.19,100.12,103.62,49186000,39.62,0.03
